portal,profile,status,title,company,location,url,discovered_at,gate_score,gate_reason,application_method,region,last_error
indeed,it,queued,Systems Analyst (PeopleSoft),City of Richmond (BC),"Richmond, BC, CA",https://ca.indeed.com/viewjob?jk=e3436d87b24ec2f3,2026-07-13 01:06:10.552000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,"Support Engineer, Selling Partner Financial Technology",Amazon.com,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=e66ce40fefa655d6,2026-07-13 01:06:10.501000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Technical Support Engineer mit Fokus Operation (a),1stQuad Solutions,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=f0d776882ed81357,2026-07-13 01:06:10.495000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Service Desk Supervisor- Onsite,Compugen Inc,"Surrey, BC, CA",https://ca.indeed.com/viewjob?jk=ccae30385f76d0e2,2026-07-13 01:06:10.488000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Technology Deployment & Operations Technician - Information Technology Support A,School District #39 (Vancouver),"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=1adf348954731ade,2026-07-13 01:06:10.481000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Systems Analyst I,Seaspan ULC,"North Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=10efb697bc007c16,2026-07-13 01:06:10.468000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,SAP/Ariba Business Analyst (contract),Teck Resources Limited,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=1ba5c036d760b395,2026-07-13 01:06:10.460000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,"SAP Analytics Cloud (SAC) Developer, ERP Reporting & Analytics (contract)",Teck Resources Limited,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=31051e96a7e08c1c,2026-07-13 01:06:10.454000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,ERP Testing Specialist (contract),Teck Resources Limited,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=c2936fe8fcc53868,2026-07-13 01:06:10.447000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,"SAP Analyst, Supply Chain",Fortis BC,"Surrey, BC, CA",https://ca.indeed.com/viewjob?jk=6f7f457207c07684,2026-07-13 01:06:10.441000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Enterprise Data Analyst,Cansure,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=85b603dbb594259e,2026-07-13 01:06:10.435000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Data Analyst - 18 Month TFT,Electronic Arts,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=583d184a06433bcc,2026-07-13 01:06:10.430000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Library Systems Coordinator - Technical & Resource Support E,School District #39 (Vancouver),"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=5e425489fbba2f9a,2026-07-13 01:06:10.401000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Information Technology Student,PCL Construction,"Richmond, BC, CA",https://ca.indeed.com/viewjob?jk=17dbb515bbb5cd7d,2026-07-13 01:06:10.356000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,"Software Analyst Intern (Fall 2026, 4/8/12 months)",Hitachi Energy,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=3452dbc841f9ee14,2026-07-13 01:06:10.106000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,26-P003 Student Work Placement Opportunity | Information Technology,City of Maple Ridge,"Maple Ridge, BC, CA",https://ca.indeed.com/viewjob?jk=61c26821a00766e7,2026-07-13 01:06:10.099000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
