portal,profile,status,title,company,location,url,discovered_at,gate_score,gate_reason,application_method,region,last_error
indeed,it,queued,Senior Accountant,The Hockey Shop Source For Sports,"Langley, BC, CA",https://ca.indeed.com/viewjob?jk=c7ca38f7c28aba26,2026-07-13 01:06:14.860000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Materials Handler (Onsite),Kardium Inc.,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=10feb05a5381df04,2026-07-13 01:06:14.848000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Senior Accountant,Spire Construction Inc.,"Delta, BC, CA",https://ca.indeed.com/viewjob?jk=141a9759bd295a9c,2026-07-13 01:06:14.841000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Operation Coordinator,Montalco Custom Cabinets,"Richmond, BC, CA",https://ca.indeed.com/viewjob?jk=e217f26438e0d61e,2026-07-13 01:06:14.836000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Claims Associate,Verka Food International Limited,"Surrey, BC, CA",https://ca.indeed.com/viewjob?jk=c358d348124b216b,2026-07-13 01:06:14.829000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Senior Accountant,Premium Fence Company,"Surrey, BC, CA",https://ca.indeed.com/viewjob?jk=88758c25569dc386,2026-07-13 01:06:14.822000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Web Experience Manager,ScalePad,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=6e58b2497ffca305,2026-07-13 01:06:14.817000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,Visual Experience Designer,Autodesk,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=ec62f9f4d13edba2,2026-07-13 01:06:14.810000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,Digital Content Advisor,Douglas College,"New Westminster, BC, CA",https://ca.indeed.com/viewjob?jk=6b05c051cc6cb445,2026-07-13 01:06:14.804000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Marketing Assistant,Akiko Sherman Infotech,"Langley, BC, CA",https://ca.indeed.com/viewjob?jk=59a2ea4657ed3c9d,2026-07-13 01:06:14.796000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Nurse Practitioner,Calian,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=fe45eb1d7cd491c0,2026-07-13 01:06:14.782000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Senior Escalations & Retention Specialist,Pocketpills,"Surrey, BC, CA",https://ca.indeed.com/viewjob?jk=c9d1019712fc46a1,2026-07-13 01:06:14.774000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Category Manager (Decor),Article,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=73e4e278b45f919a,2026-07-13 01:06:14.768000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,Subcontracts Administrator,EBC INC,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=95acbbb373a0ac94,2026-07-13 01:06:14.746000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Die Cast Operator,CMP Group Ltd.,"Delta, BC, CA",https://ca.indeed.com/viewjob?jk=f0e8d3abb1b2129b,2026-07-13 01:06:14.741000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Customer Success Account Manager,Microsoft,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=7e2406477e445553,2026-07-13 01:06:14.734000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,GFT - Lead Solutions Architect,RBC,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=6fbe55552a3bde94,2026-07-13 01:06:14.729000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,"Director, Financial Crime",Deloitte,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=0aaa98087645ae93,2026-07-13 01:06:14.722000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,"Sr Manager, Digital Innovation",BC Hydro,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=244de7096cd39ece,2026-07-13 01:06:14.718000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Guest Services Representative,QuadReal,"North Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=1c647f6ef13926e6,2026-07-13 01:06:14.713000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,"Data Scientist, Product Analytics | Scientifique de données en analyse de produits",Meta,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=bff6afbeba3c75c8,2026-07-13 01:06:14.708000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Development Accountant,QuadReal,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=dab21ddde4058e51,2026-07-13 01:06:14.692000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,AI Creative Designer,Wondershare,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=da32665124e2918d,2026-07-13 01:06:14.687000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Senior Performance Marketing Lead,Cymax Group Technologies,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=ad7822cc5054524c,2026-07-13 01:06:14.678000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Designer,Redacted Studios,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=7b843ed77365d427,2026-07-13 01:06:14.673000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Senior Data Scientist - Computer Vision,zesty.ai,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=6fd3a260fb4fa5a9,2026-07-13 01:06:14.669000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
